name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
uppsala,2021-05-22,16.1,3.4,10.7,16.1,3.4,10.6,7.5,82.4,5.039,100,45.83,rain,0,0,35.6,24.3,203.2,999.5,69.4,32.4,157.3,13.6,5,,2021-05-22T03:57:25,2021-05-22T21:36:23,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02482099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-23,9.2,5.7,7.7,7.4,3.3,5.4,6.8,94.6,1.338,100,25,rain,0,0,28.7,21.3,53.9,1005.7,90.3,23.9,224.1,19.3,7,,2021-05-23T03:55:26,2021-05-23T21:38:31,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-24,11.7,5.1,8.4,11.7,2.6,7.3,6.2,86.5,0.422,100,25,rain,0,0,18.3,13.3,72.5,1014.8,95.8,37.6,103.9,9,4,,2021-05-24T03:53:30,2021-05-24T21:40:36,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"02486099999,02460099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,ESSA,02481099999,F4490"
uppsala,2021-05-25,15.6,7.4,11.4,15.6,6.2,11.1,7.6,79.6,0.005,100,8.33,rain,0,0,35.8,24.7,88.8,1017.4,68.5,32.8,181.8,15.8,6,,2021-05-25T03:51:37,2021-05-25T21:42:40,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-26,10.3,7.2,9.1,10.3,4.2,6.1,8.3,94.9,23.034,100,100,rain,0,0,49.9,32.9,45.7,1008,92.3,21.5,21,1.5,1,,2021-05-26T03:49:47,2021-05-26T21:44:41,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999,F4490"
uppsala,2021-05-27,7.1,5.6,6.3,4.4,0.7,2.5,5.9,96.7,6.899,100,100,rain,0,0,50.4,31.7,344.3,1007.2,99.1,9.8,56.3,5,2,,2021-05-27T03:48:00,2021-05-27T21:46:39,0.51,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999,F4490"
uppsala,2021-05-28,17.1,5.6,10.8,17.1,2.1,9.6,5.2,72,1.805,100,20.83,rain,0,0,28.3,21,7.8,1015.9,42.8,32.4,149.2,12.9,6,,2021-05-28T03:46:17,2021-05-28T21:48:35,0.53,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999,F4490"
uppsala,2021-05-29,17.5,4.7,12.2,17.5,3.3,11.9,5,64.8,0,0,0,,0,0,21.8,14.2,31.7,1023.5,27.1,40.6,308.2,26.8,8,,2021-05-29T03:44:38,2021-05-29T21:50:28,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02482099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-30,21,2.8,13.6,21,2.8,13.6,5.8,63.6,0,0,0,,0,0,24.8,14.2,194.6,1026.3,4.2,37.2,309.1,26.8,8,,2021-05-30T03:43:02,2021-05-30T21:52:19,0.61,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-31,19.5,7.7,13.3,19.5,6.5,13.2,5.6,60.4,0,0,0,,0,0,28.4,20.9,0.7,1021.5,37.6,42.8,182.8,15.7,5,,2021-05-31T03:41:29,2021-05-31T21:54:06,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02482099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
